Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L9_F256_K4x4_W40_DWS,9,6708797,562227,1172624621,dws,40,1659.0,159.0,0.0,9.682203389830509,87.0,26.491525423728813,25.0,50.0,39.17857142857143,30.835365853658537,5353.118644067797,3069.813559322034,203.5084745762712,26.692307692307693,29.633333333333333,32.310344827586206,315834.0,181119.0,12007.0,1490,44.177548885345395,121.55637583892617,8.058389261744967
convnet_L9_F256_K4x4_W50_DWS,9,9473597,562227,1743141941,dws,50,1675.3898305084747,159.0,0.0,9.5,90.45762711864408,19.52542372881356,25.0,50.0,39.391891891891895,31.072115384615383,5311.440677966101,3197.966101694916,176.10169491525423,26.676470588235293,29.88571428571429,32.44444444444444,313375.0,188680.0,10390.0,1123,56.8908977508544,168.01424755120215,9.2520035618878
convnet_L9_F256_K4x4_W60_DWS,9,12750397,562227,2426616661,dws,60,1688.8727272727272,159.0,0.0,7.686363636363636,95.25454545454544,28.09090909090909,25.0,50.0,39.10606060606061,31.11627906976744,5468.890909090909,3081.2545454545457,158.5818181818182,26.766666666666666,29.90322580645161,32.208333333333336,300789.0,169469.0,8722.0,764,78.1643652915954,221.81806282722513,11.416230366492147
convnet_L9_F256_K4x4_W70_DWS,9,16539197,562227,3223048781,dws,70,1707.982456140351,159.0,0.0,6.907894736842105,88.59649122807018,29.017543859649123,25.0,50.0,39.5,31.12162162162162,5566.736842105263,3248.0175438596493,156.31578947368422,26.78125,29.818181818181817,32.875,317304.0,185137.0,8910.0,593,100.35615205764769,312.20404721753795,15.025295109612141
convnet_L9_F256_K4x4_W80_DWS,9,20839997,562227,4132438301,dws,80,1729.0,159.0,0.0,6.016949152542373,96.42372881355932,29.05084745762712,25.0,50.0,39.25757575757576,31.122340425531917,5596.271186440678,3186.830508474576,146.10169491525423,26.61111111111111,29.96551724137931,32.3448275862069,330180.0,188023.0,8620.0,470,126.84880733489989,400.04893617021276,18.340425531914892
convnet_L9_F256_K4x4_W90_DWS,9,25652797,562227,5154785221,dws,90,1748.9827586206898,159.0,0.0,5.732758620689655,96.01724137931036,21.310344827586206,25.0,50.0,40.0,31.277027027027028,5610.103448275862,3453.896551724138,140.10344827586206,26.714285714285715,29.875,32.86666666666667,325386.0,200326.0,8126.0,407,147.8330445289611,492.2014742014742,19.965601965601966
convnet_L9_F256_K4x4_W100_DWS,9,30977597,562227,6290089541,dws,100,1775.0,159.0,0.0,5.176724137931035,96.46551724137932,21.344827586206897,25.0,50.0,40.17857142857143,31.27173913043478,5582.672413793103,3457.2241379310344,132.91379310344828,26.58620689655172,29.928571428571427,32.666666666666664,323795.0,200519.0,7709.0,335,178.6630725860595,598.5641791044776,23.01194029850746
convnet_L9_F256_K5x5_W20_DWS,9,1604696,580686,233298410,dws,20,1642.8135593220338,159.0,0.0,15.317796610169491,87.28813559322033,19.440677966101696,25.0,50.0,39.66129032258065,31.38953488372093,5314.762711864407,3064.576271186441,316.8305084745763,26.96875,29.96153846153846,32.89655172413793,313571.0,180810.0,18693.0,5903,10.8516669273376,30.63018803997967,3.1666949008978484
convnet_L9_F256_K5x5_W30_DWS,9,2884696,580686,524921410,dws,30,1643.949152542373,159.0,0.0,12.53813559322034,87.71186440677967,21.64406779661017,25.0,50.0,39.57142857142857,31.275,5348.881355932203,3105.1186440677966,256.89830508474574,26.813953488372093,30.0,32.666666666666664,315584.0,183202.0,15157.0,2881,19.952132701873698,63.58972578965637,5.261020479000347
convnet_L9_F256_K5x5_W40_DWS,9,4676696,580686,933193610,dws,40,1655.0,159.0,0.0,9.572033898305085,88.32203389830508,23.45762711864407,25.0,50.0,39.621212121212125,31.487179487179485,5484.779661016949,3229.423728813559,213.89830508474577,26.714285714285715,29.96875,32.94736842105263,323602.0,190536.0,12620.0,1799,36.1966586112976,105.91217342968315,7.015008337965536
convnet_L9_F256_K5x5_W50_DWS,9,6980696,580686,1458115010,dws,50,1666.0,159.0,0.0,10.580357142857142,89.55357142857143,24.214285714285715,25.0,50.0,39.84375,31.29787234042553,5500.267857142857,3252.803571428572,175.53571428571428,26.741935483870968,29.892857142857142,32.793103448275865,308015.0,182157.0,9830.0,1165,50.962860584259,156.3579399141631,8.437768240343347
