Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_PLL,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L4_F256_K4x4_W60,4,13644810,12547702282,ConvNet,60,1721.8813559322034,460.0,0.0,3.3389830508474576,96.38983050847456,12.610169491525424,25.0,50.0,42.26,32.19078947368421,6448.016949152542,4522.9152542372885,128.0677966101695,34.142857142857146,30.07692307692308,26.692307692307693,380433.0,266852.0,7556.0,425,141.5711522102355,627.8870588235294,17.778823529411763
convnet_L4_F256_K4x4_W70,4,17177610,16847027722,ConvNet,70,1732.0169491525423,460.0,0.0,2.847457627118644,92.79661016949152,16.83050847457627,25.0,50.0,42.0,31.916666666666668,6559.8983050847455,4518.322033898305,134.94915254237287,33.74193548387097,30.115384615384617,26.39130434782609,387034.0,266581.0,7962.0,315,190.1963472366333,846.2888888888889,25.276190476190475
convnet_L4_F256_K4x4_W80,4,21222410,21778673162,ConvNet,80,1753.0,459.0,0.0,2.517857142857143,97.01785714285714,15.839285714285714,25.0,50.0,42.088235294117645,31.875,6510.410714285715,4497.25,134.08928571428572,34.142857142857146,29.90909090909091,26.285714285714285,364583.0,251846.0,7509.0,246,243.2075071334838,1023.7642276422764,30.524390243902438
convnet_L4_F256_K4x4_W90,4,25779210,27342638602,ConvNet,90,1775.050847457627,459.0,0.0,2.4703389830508478,96.33898305084746,16.0,25.0,50.0,41.60714285714285,31.657894736842103,6472.237288135593,4418.016949152542,136.72881355932202,33.666666666666664,29.90625,26.466666666666665,381862.0,260663.0,8067.0,196,305.03252506256104,1329.9132653061224,41.15816326530612
convnet_L4_F256_K4x4_W100,4,30848010,33538924042,ConvNet,100,1799.4237288135594,460.0,0.0,1.7923728813559323,98.20338983050848,11.779661016949152,25.0,50.0,42.5,32.19444444444444,6398.372881355932,4501.406779661017,123.2542372881356,34.39473684210526,30.12903225806452,26.607142857142858,377504.0,265583.0,7272.0,165,363.2578563690185,1609.5939393939393,44.07272727272727
convnet_L4_F512_K2x2_W50,4,22835210,11012887562,ConvNet,50,1999.372881355932,459.0,0.0,4.521186440677966,95.20338983050848,20.372881355932204,25.0,50.0,41.01851851851852,31.403846153846157,6371.830508474576,4260.0,133.08474576271186,33.138888888888886,29.852941176470587,26.291666666666668,375938.0,251340.0,7852.0,377,158.7479853630066,666.684350132626,20.82758620689655
convnet_L4_F512_K2x2_W60,4,29696010,15055967242,ConvNet,60,2028.9137931034484,459.0,0.0,3.849137931034482,97.8793103448276,28.20689655172414,25.0,50.0,40.02,31.19736842105263,6612.5344827586205,4247.086206896552,132.29310344827587,33.07407407407408,29.58333333333333,26.296296296296298,383527.0,246331.0,7673.0,265,226.3660192489624,929.5509433962264,28.954716981132076
convnet_L4_F512_K2x2_W70,4,37580810,19730854922,ConvNet,70,2059.0,459.0,0.0,2.766949152542373,97.47457627118644,22.372881355932204,25.0,50.0,41.20967741935484,31.20108695652174,6591.118644067797,4446.762711864407,134.22033898305085,33.10344827586207,29.681818181818183,26.37037037037037,388876.0,262359.0,7919.0,211,284.5015454292297,1243.4075829383887,37.53080568720379
convnet_L4_F512_K2x2_W80,4,46489610,25037550602,ConvNet,80,2097.0,459.0,0.0,3.1186440677966103,96.84745762711864,22.91525423728813,25.0,50.0,41.46774193548387,31.447916666666668,6691.135593220339,4494.610169491525,139.57627118644066,33.2,29.96153846153846,26.384615384615383,394777.0,265182.0,8235.0,168,357.49634981155396,1578.4642857142858,49.017857142857146
convnet_L4_F512_K2x2_W90,4,56422410,30976054282,ConvNet,90,2146.677966101695,458.0,0.0,2.864406779661017,98.135593220339,23.491525423728813,25.0,50.0,41.329268292682926,31.4527027027027,6654.728813559322,4461.796610169492,127.96610169491524,33.6,29.689655172413797,26.24,392629.0,263246.0,7550.0,137,439.4182276725769,1921.5036496350365,55.10948905109489
convnet_L4_F512_K2x2_W100,4,67379210,37546365962,ConvNet,100,2233.915254237288,459.0,0.0,1.9661016949152543,97.22033898305084,22.508474576271187,25.0,50.0,41.08620689655172,31.085365853658537,6465.9152542372885,4331.389830508475,134.40677966101694,33.064516129032256,29.548387096774192,25.90909090909091,381489.0,255552.0,7930.0,121,498.62704515457153,2112.0,65.53719008264463
convnet_L4_F512_K4x4_W30,4,18528266,13742881802,ConvNet,30,1734.5762711864406,457.0,0.0,2.7796610169491527,96.96610169491524,10.508474576271189,25.0,50.0,43.31818181818182,32.7890625,6560.28813559322,4674.932203389831,123.72881355932203,35.15384615384615,31.0,27.09090909090909,387057.0,275821.0,7300.0,393,152.3457694053649,701.8346055979644,18.575063613231553
convnet_L4_F512_K4x4_W40,4,22521866,23329119242,ConvNet,40,1747.0,457.0,0.0,2.296610169491525,99.0,13.864406779661016,25.0,50.0,42.04285714285714,32.43478260869565,6747.881355932203,4529.033898305085,139.23728813559322,34.15151515151515,30.42105263157895,26.84375,398125.0,267213.0,8215.0,236,255.14513969421387,1132.2584745762713,34.809322033898304
convnet_L4_F512_K4x4_W50,4,27539466,35438287882,ConvNet,50,1768.033898305085,457.0,0.0,1.694915254237288,96.57627118644068,13.94915254237288,25.0,50.0,42.84285714285714,32.422222222222224,6683.389830508475,4709.966101694915,132.25423728813558,34.648648648648646,30.384615384615383,26.823529411764707,394320.0,277888.0,7803.0,159,376.1845731735229,1747.7232704402516,49.075471698113205
convnet_L4_F1024_K2x2_W20,4,23085066,10677856266,ConvNet,20,1993.4745762711864,461.0,0.0,4.77542372881356,96.69491525423727,16.406779661016948,25.0,50.0,40.794117647058826,31.175531914893615,6298.35593220339,4245.593220338983,137.33898305084745,33.22727272727273,29.5625,25.9375,371603.0,250490.0,8103.0,433,138.19570302963248,578.4988452655889,18.71362586605081
convnet_L4_F1024_K2x2_W30,4,30662666,19251357706,ConvNet,30,2021.0,461.0,0.0,2.983050847457627,97.66101694915254,26.11864406779661,25.0,50.0,40.088235294117645,30.87,6414.169491525424,4126.186440677966,135.72881355932202,32.55882352941177,29.4375,25.75,378436.0,243445.0,8008.0,193,310.8688449859619,1261.3730569948186,41.49222797927461
convnet_L4_F1024_K2x2_W40,4,40288266,30346766346,ConvNet,40,2060.508474576271,461.0,0.0,2.26271186440678,98.01694915254237,26.11864406779661,25.0,50.0,40.46875,31.163265306122447,6563.779661016949,4267.135593220339,142.4406779661017,33.225806451612904,29.7,26.074074074074076,387263.0,251761.0,8404.0,135,445.4253840446472,1864.8962962962962,62.25185185185185
