Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F256_K4x4_1_K6x6_1_W25,2,3972106,1484799754,ConvNet,25,1601.9322033898304,214.0,0.0,10.254237288135592,78.50847457627118,12.677966101694915,25.0,26.0,50.0,30.75675675675676,5390.203389830508,3435.728813559322,156.864406779661,32.705882352941174,29.0,39.45652173913044,318022.0,202708.0,9255.0,2585,21.329066753387398,78.41702127659575,3.5802707930367506
convnet_L2_F256_K4x4_1_K6x6_1_W30,2,4676106,2137955594,ConvNet,30,1604.0,214.0,0.0,7.728813559322034,86.77966101694915,12.64406779661017,25.0,25.53846153846154,50.0,30.4375,5566.220338983051,3663.8813559322034,127.47457627118644,32.27272727272727,28.55555555555556,39.294117647058826,328407.0,216169.0,7521.0,1816,32.703461647033606,119.03579295154185,4.141519823788546
convnet_L2_F256_K4x4_1_K6x6_1_W35,2,5508106,2909844234,ConvNet,35,1607.0,214.0,0.0,6.533898305084746,88.49152542372882,13.576271186440678,25.0,25.42105263157895,50.0,30.416666666666668,5741.084745762712,3792.186440677966,131.94915254237287,32.23809523809524,28.55555555555556,39.40476190476191,338724.0,223739.0,7785.0,1466,40.7034087181091,152.61869031377898,5.310368349249659
convnet_L2_F256_K4x4_1_K6x6_1_W40,2,6468106,3800465674,ConvNet,40,1611.6440677966102,214.0,0.0,5.546610169491525,88.42372881355932,14.576271186440678,25.0,25.633333333333333,50.0,30.640243902439025,5929.610169491525,3937.254237288136,134.35593220338984,32.6551724137931,28.75,39.70512820512821,349847.0,232298.0,7927.0,1169,50.8134865760803,198.71514114627888,6.781009409751925
convnet_L2_F256_K4x4_1_K6x6_1_W45,2,7556106,4809819914,ConvNet,45,1615.6440677966102,214.0,0.0,4.978813559322034,88.44067796610169,9.745762711864408,25.0,25.807692307692307,50.0,31.28333333333333,5939.35593220339,4102.627118644068,127.28813559322032,33.15384615384615,29.03703703703704,40.41176470588236,350422.0,242055.0,7510.0,1009,59.039995670318596,239.89593657086223,7.443012884043608
convnet_L2_F256_K4x4_1_K6x6_1_W50,2,8772106,5937906954,ConvNet,50,1623.864406779661,214.0,0.0,3.9533898305084745,89.62711864406779,14.59322033898305,25.0,25.84375,50.0,31.26063829787234,6174.35593220339,4162.949152542373,135.03389830508473,33.486486486486484,29.451612903225808,40.5,364287.0,245614.0,7967.0,798,74.7069144248962,307.78696741854634,9.983709273182958
convnet_L2_F256_K4x4_1_K6x6_1_W55,2,10116106,7184726794,ConvNet,55,1627.6440677966102,214.0,0.0,3.766949152542373,93.0,15.016949152542374,25.0,25.96551724137931,50.0,31.32558139534884,6186.559322033899,4189.508474576272,137.864406779661,33.4,29.580645161290324,40.596774193548384,365007.0,247181.0,8134.0,667,89.6876668930053,370.58620689655174,12.194902548725636
convnet_L2_F256_K4x4_1_K6x6_1_W60,2,11588106,8550279434,ConvNet,60,1641.5593220338983,214.0,0.0,3.3940677966101696,97.0,16.576271186440678,25.0,26.0,50.0,31.4125,6247.576271186441,4117.220338983051,130.864406779661,33.32258064516129,29.666666666666668,40.56060606060606,368607.0,242916.0,7721.0,560,105.93239545822141,433.7785714285714,13.7875
convnet_L2_F256_K4x4_1_K6x6_1_W65,2,13188106,10034564874,ConvNet,65,1642.0,214.0,0.0,3.046610169491525,94.0677966101695,15.491525423728811,25.0,25.9375,50.0,31.2625,6220.728813559322,4232.830508474576,123.6271186440678,33.58620689655172,29.666666666666668,40.94444444444444,367023.0,249737.0,7294.0,479,124.4738554954528,521.3716075156576,15.227557411273487
convnet_L2_F256_K4x4_1_K6x6_1_W70,2,14916106,11637583114,ConvNet,70,1650.0169491525423,214.0,0.0,2.830508474576271,94.77966101694916,15.59322033898305,25.0,25.967741935483872,50.0,31.546511627906977,6247.35593220339,4248.983050847458,131.27118644067798,33.68,29.705882352941178,41.18571428571428,368594.0,250690.0,7745.0,424,141.1368656158447,591.25,18.266509433962263
