Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_AO,Avrg_THERMAL,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L3_F512_K4x4_W55,3,25638410,27836217866,ConvNet,55,1794.0,373.0,0.0,2.1737288135593222,96.71186440677968,10.813559322033898,25.0,50.0,6617.745762711865,4666.28813559322,152.16949152542372,42.41176470588236,32.21078431372549,26.53333333333333,30.103448275862068,34.63636363636363,390447.0,275311.0,8978.0,199.0,300.8473682403564,1383.4723618090452,45.11557788944724
convnet_L3_F512_K4x4_W65,3,32089610,38360316426,ConvNet,65,1819.050847457627,373.0,0.0,2.3389830508474576,97.32203389830508,15.830508474576272,25.0,50.0,6768.966101694915,4686.966101694915,139.71186440677965,42.47222222222222,32.31395348837209,26.852941176470587,30.363636363636363,34.34782608695652,399369.0,276531.0,8243.0,143.0,421.1877512931823,1933.7832167832169,57.64335664335665
convnet_L3_F544_K2x2_W60,3,28275498,10851122314,ConvNet,60,2048.0338983050847,373.0,0.0,4.97457627118644,94.01694915254237,29.1864406779661,25.0,50.0,6390.559322033899,4072.915254237288,126.135593220339,40.37096774193548,31.15625,26.107142857142858,29.714285714285715,33.114285714285714,377043.0,240302.0,7442.0,338.0,178.0112695693969,710.9526627218935,22.01775147928994
convnet_L3_F544_K2x2_W65,3,32165098,12517647274,ConvNet,65,2065.0,373.0,0.0,5.055084745762712,96.3728813559322,29.71186440677966,25.0,50.0,6488.016949152542,4136.745762711865,137.84745762711864,39.89473684210526,31.11111111111111,25.84,29.666666666666668,32.96296296296296,382793.0,244068.0,8133.0,297.0,201.4780902862548,821.7777777777778,27.383838383838384
convnet_L3_F544_K2x2_W70,3,36326698,14303226634,ConvNet,70,2084.964912280702,373.0,0.0,3.25,98.71929824561404,22.350877192982452,25.0,50.0,6385.80701754386,4216.070175438596,126.35087719298244,40.64705882352941,30.9390243902439,25.93103448275862,29.52,33.142857142857146,363991.0,240316.0,7202.0,276.0,217.41111040115348,870.7101449275362,26.094202898550726
convnet_L3_F544_K2x2_W75,3,40760298,16207860394,ConvNet,75,2102.2203389830506,373.0,0.0,4.22457627118644,97.30508474576273,30.91525423728813,25.0,50.0,6611.508474576272,4194.423728813559,125.1864406779661,39.33870967741935,31.010416666666668,26.0,29.32,32.857142857142854,390079.0,247471.0,7386.0,233.0,257.3731589317322,1062.107296137339,31.699570815450645
convnet_L3_F544_K2x2_W80,3,45465898,18231548554,ConvNet,80,2122.5254237288136,373.0,0.0,4.114406779661017,96.2542372881356,31.10169491525424,25.0,50.0,6581.779661016949,4252.050847457627,125.15254237288136,39.84285714285714,30.96590909090909,26.0,29.51851851851852,32.7,388325.0,250871.0,7384.0,209.0,287.48568058013916,1200.3397129186603,35.33014354066986
convnet_L3_F544_K2x2_W85,3,50443498,20374291114,ConvNet,85,2144.0,373.0,0.0,3.097457627118644,96.44067796610167,31.305084745762716,25.0,50.0,6597.271186440678,4253.728813559322,126.57627118644068,40.294117647058826,31.005681818181817,25.88888888888889,29.772727272727277,32.57575757575758,389239.0,250970.0,7468.0,186.0,324.2008805274963,1349.3010752688172,40.1505376344086
convnet_L3_F544_K2x2_W90,3,55693098,22636088074,ConvNet,90,2166.0,373.0,0.0,2.3262711864406778,97.94915254237289,23.47457627118644,25.0,50.0,5103.9152542372885,2941.169491525424,144.61016949152545,38.1764705882353,31.087209302325583,25.807692307692307,28.53846153846154,31.03448275862069,301131.0,173529.0,8532.0,177.0,338.9555621147155,980.3898305084746,48.20338983050848
convnet_L3_F544_K2x2_W95,3,61214698,25016939434,ConvNet,95,2207.0,373.0,0.0,2.5762711864406778,94.6271186440678,24.15254237288136,25.0,50.0,6448.762711864407,4239.881355932203,144.16949152542372,40.391304347826086,31.058823529411764,25.964285714285715,29.535714285714285,32.96666666666667,380477.0,250153.0,8506.0,160.0,374.9497485160827,1563.45625,53.1625
convnet_L3_F544_K2x2_W100,3,67008298,27516845194,ConvNet,100,2257.71186440678,373.0,0.0,2.0720338983050848,94.45762711864408,23.1864406779661,25.0,50.0,6279.71186440678,4137.677966101695,131.10169491525423,41.0,31.494565217391305,26.07692307692308,29.676470588235293,33.411764705882355,370503.0,244123.0,7735.0,149.0,402.808301448822,1638.4093959731545,51.91275167785235
convnet_L3_F544_K3x3_W45,3,16359178,10830931210,ConvNet,45,1789.0,373.0,0.0,4.529661016949152,94.03389830508476,52.32203389830509,25.0,50.0,7437.796610169492,4718.033898305085,127.22033898305084,41.588235294117645,32.176829268292686,26.88235294117647,30.75,34.05555555555556,438830.0,278364.0,7506.0,727.0,83.42206954956049,382.8940852819807,10.32462173314993
convnet_L3_F544_K3x3_W50,3,18943178,13371520010,ConvNet,50,1808.0,373.0,0.0,3.415254237288136,95.96610169491524,56.16949152542373,25.0,50.0,7391.627118644068,4558.542372881356,124.61016949152544,41.56896551724138,32.09183673469388,27.0,30.823529411764707,34.09090909090909,436106.0,268954.0,7352.0,475.0,127.9478645324707,566.218947368421,15.477894736842105
convnet_L3_F544_K3x3_W55,3,21799178,16179539210,ConvNet,55,1811.0,373.0,0.0,3.046610169491525,96.50847457627118,59.1864406779661,25.0,50.0,7634.118644067797,4707.8983050847455,155.22033898305085,41.98648648648648,32.50625,27.6,30.85,34.76470588235294,450413.0,277766.0,9158.0,460.0,130.2337980270385,603.8391304347826,19.908695652173915
convnet_L3_F544_K3x3_W60,3,24927178,19254988810,ConvNet,60,1826.0,373.0,0.0,3.4703389830508478,97.0677966101695,59.05084745762712,25.0,50.0,7572.169491525424,4660.508474576272,134.5593220338983,42.32051282051282,32.708333333333336,27.61290322580645,31.27586206896552,34.74285714285714,446758.0,274970.0,7939.0,398.0,150.5822992324829,690.8793969849246,19.94723618090452
convnet_L3_F544_K3x3_W65,3,28327178,22597868810,ConvNet,65,1840.0,373.0,0.0,3.152542372881356,96.64406779661016,51.559322033898304,25.0,50.0,7374.389830508475,4609.559322033899,125.42372881355932,41.87837837837838,32.685,27.59375,31.060606060606062,34.666666666666664,435089.0,271964.0,7400.0,307.0,195.4413342475891,885.8762214983714,24.104234527687296
convnet_L3_F544_K3x3_W70,3,31999178,26208179210,ConvNet,70,1855.0169491525423,373.0,0.0,2.444915254237288,95.52542372881356,59.1864406779661,25.0,50.0,7534.779661016949,4616.8983050847455,125.89830508474576,41.78125,32.65625,27.53333333333333,31.027027027027028,34.588235294117645,444552.0,272397.0,7428.0,283.0,211.3433480262756,962.5335689045936,26.247349823321557
convnet_L3_F544_K3x3_W75,3,35943178,30085920010,ConvNet,75,1872.0,373.0,0.0,2.296610169491525,96.64406779661016,58.10169491525424,25.0,50.0,7542.169491525424,4632.559322033899,156.79661016949152,41.91176470588236,32.61309523809524,27.59375,31.185185185185187,34.875,444988.0,273321.0,9251.0,255.0,235.4431819915771,1071.8470588235293,36.27843137254902
convnet_L3_F544_K3x3_W80,3,40159178,34231091210,ConvNet,80,1894.915254237288,373.0,0.0,3.139830508474576,96.1864406779661,48.23728813559322,25.0,50.0,7303.220338983051,4625.576271186441,124.79661016949152,41.983870967741936,32.71938775510204,27.65853658536585,31.13793103448276,34.6,430890.0,272909.0,7363.0,250.0,239.44882392883298,1091.636,29.452
